Title,Abstract,Funding (USD),Start Year,End Year,Funder,Research Country,Funder Country,Fields of research
Research Infrastructure: LIGO Laboratory Operations and Maintenance 2024-2028 -- Exploring the Gravitational-Wave Cosmos,"Researchers at NSF's Laser Interferometer Gravitational Wave Observatory (LIGO) seek to observe and understand gravitational waves. Gravitational waves (GWs) are oscillations in space and time that are generated whenever mass moves suddenly. They can carry information about cosmic catastrophes, such as the collisions of black holes and neutron stars. Since 2015, LIGO has observed more than one hundred GW events, revealing entirely new information about these exotic objects, which are located tens or hundreds of millions of light years away. This award will enable LIGO to search for additional GW signals and to improve LIGO’s sensitivity so that it can observe even more distant cataclysms. LIGO is the world’s premier gravitational wave observatory. It is a key part of an emerging global network of similar detectors. These are now in operation or under development in Italy (Virgo), Japan (KAGRA), and India (LIGO India). Concurrent measurements by LIGO, Virgo, and optical, radio, and X-ray observatories have inaugurated the era of multi-messenger astronomy, where synergistic detections of gravitational waves and electromagnetic waves reveal entirely new and exciting information about the cosmos. LIGO’s historic GW observations were recognized by the award of the 2017 Nobel Prize in Physics to LIGO pioneers Barry Barish, Kip Thorne, and Rainer Weiss. This award will stimulate the development of a scientific and technically educated workforce, advance the multidisciplinary application of LIGO-related technology, and it will disseminate information about LIGO-related science and technology to the general public. This award will fund the operation of the existing LIGO apparatus, as well as installation, commissioning, and operation of enhancements to the apparatus that will improve LIGO’s sensitivity. This, and related research activities, will create continued opportunities for interdisciplinary collaboration between LIGO staff members, post-docs, and students, and the approximately 1400 researchers and students at 127 universities world-wide that collaborate with LIGO. Funding is provided for the continued operation of the LIGO observatories at Hanford, Washington, and Livingston, Louisiana, the associated science and engineering support programs at Caltech and MIT, and for carrying out education and public outreach programs that disseminate information about LIGO. Funding will be awarded through a new cooperative agreement for the period from January 1, 2024, through December 31, 2028. The effort includes: • Maintenance and operation of the LIGO sites and interferometers, • Commissioning the interferometers to enhance their sensitivity to GWs, • Conducting astrophysical data analysis and detector characterization to discriminate GW signals from noise sources, • Carrying out research and development to enhance detector sensitivity beyond the current design performance, • Curation of LIGO data and its dissemination to the broader research community, • Provision of software and computing resources to LIGO, and the development of new computing tools and methods that extend LIGOs data analysis capabilities, and • Continuation of the vibrant observatory-based LIGO education and public outreach program. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",250000000,2024,2028,NSF,United States,United States,Astronomical Sciences
Management and Operations of the Green Bank Observatory FY 2025 - FY 2026,"Associated Universities, Inc. (AUI) will manage and operate the Green Bank Observatory (GBO) from October 1, 2024 to September 30, 2026. As part of this project, AUI will initiate a critically-needed infrastructure refurbishment plan to ensure the long-term safety and scientific vitality of GBO. Furthermore, it will reintegrate GBO into the National Radio Astronomy Observatory (NRAO) to realize a coherent vision of service to the radio astronomy community, with a renewed emphasis on improving scientific capability, user support, archival data access, and software tools. Astronomy is an important element in meeting national goals related to diversity, science and technology education, and increased U.S. competitiveness. GBO’s exemplary education and public outreach programs in West Virginia will create unique STEM learning experiences for K– 16 students, educators, professional scientists, and the public. The Green Bank Science Center attracts nearly 40,000 visitors each year, and active telescopes on site provide invaluable training opportunities for students, as well as science enrichment for a very wide demographic. Driven by the priorities of the U.S. research community as articulated in the 2020 Decadal Survey of Astronomy and Astrophysics, GBO will enable important discoveries across many fields of astronomy and astrophysics. The major research instrument at GBO is the 100-meter diameter Green Bank Telescope (GBT)---the world's largest fully steerable single-dish radio telescope. The GBT's large sky coverage, very high sensitivity, and extensive suite of instruments make it a powerful and versatile telescope which enables advances in virtually all areas of modern astrophysics. Some major studies enabled by the GBT will include: characterizing the low-frequency gravitational wave background; determining the nature and complex environments of mysterious fast radio bursts; establishing the chemical inventory of molecular clouds and evolved stars to elucidate the growth of molecular complexity in space; measuring the distribution of superheated gas in the intercluster medium of galaxy clusters; and scanning nearby stars, the Galactic Plane, and external galaxies for technosignatures. The GBT offers excellent complementarity and synergy with interferometric arrays, such as the Very Large Array, the Very Long Baseline Array, and the Atacama Large Millimeter/submillimeter Array. It also plays a critical role as a highly sensitive element of very long baseline interferometry. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",29367660,2024,2026,NSF,United States,United States,Information and Computing Sciences; Astronomical Sciences
Initiative for european Semiconductor-based Large-scale Quantum computer,"QLSI2 brings together the expertise of 23 partners from 9 countries with the ambition to demonstrate a cloud-accessible 200-qubit semiconductor-based quantum computer by the end of 2027. In addition, the consortium aims to demonstrate the implementation of meaningful use cases on this demonstrator. The QLSI2 project will leverage the expertise of key European players (RTOs, academic laboratories, start-ups and large companies) in complementary fields of quantum technologies, from hardware to software, to define and implement a roadmap towards such an ambitious goal. The roadmap will extend its vision to the entire value chain, including the supply chain. Particular attention will be paid to the industrialisability of the proposed solution in order to keep Europe at the forefront of the race for quantum supremacy for a long time to come. The roadmap will be implemented considering both heterostructure-based and FD-SOI-based routes. In addition, and following these two routes, QLSI2 aims to advance both technology and manufacturing readiness to a level high enough to meet Europe's ambitions for the industrialisation of quantum technologies, with a particular focus on scalability. With these overall objectives and expected outcomes, QLSI2 will have a significant impact on the field towards LSQ.",27034924,2024,2027,European Commission,France; France; Germany; Netherlands; Finland; Germany; Belgium; Hungary; Denmark; France; Germany; France; France; Poland; Netherlands; Germany,EU,Engineering; Information and Computing Sciences; Quantum Physics
Coordination of the European Research Community on Nuclear Materials for Energy Innovation,"CONNECT-NM is a co-funded European Partnership on nuclear materials for all reactor generations that applies modern digital technologies to materials science practices for the acceleration of innovation. It implements plans elaborated in the ORIENT-NM CSA with 5 
strategic goals: (1) Nuclear materials (NM) acceleration platforms; (2) NM test-beds for accelerated qualification; (3) Intelligent materials health monitoring; (4) Advanced methodologies for prediction of materials behaviour in operation; (5) NM knowledge organisation system. Accordingly, the work will be organised in 5 research lines: (1) Advanced materials development & manufacturing; (2) Materials & component qualification: testing, standardization & design rules; (3) Non-destructive examination & materials health monitoring; (4) Advanced materials modelling and characterization; (5) Nuclear materials knowledge & data management. Each research line will coordinate call-selected Projects. CONNECT-NM will centralize transversal activities for the benefit of all Projects: e.g. coordination & management; E&T and infrastructure access; communication, dissemination & result exploitation; interaction with stakeholders; data management. Collaboration is foreseen with international organisations and bodies dealing with safety, standardisation, data management, as well as with fusion & non-nuclear energy communities. All activities align with national and European initiatives on nuclear materials, strengthening R&D&I and avoiding fragmentation and duplication, with direct involvement of industry, TSOs and regulatorsas active partners and end-users.",21649832,2024,2029,European Commission,Spain; Slovakia; France; Finland; Sweden; France; Slovenia; Finland; France; Germany; France; Czechia; United Kingdom; Poland; Hungary; Italy; Italy; Germany; Netherlands; United Kingdom; Germany; Italy; Sweden; Italy; Ukraine; Switzerland; Romania; Slovenia; France; Germany; France; Spain; Germany; Turkey; Croatia; Sweden; Belgium,EU,Engineering; Synchrotrons and Accelerators
Equipment: Cosmic Explorer Beamtube Experiment,"The 2015 discovery and ongoing observations of gravitational waves by NSF's Laser Interferometer Gravitational-wave Observatory (LIGO) have transformed mankind's perception of the Universe, revolutionizing modern astrophysics, cosmology, and general relativity. Upgrades to the 4-kilometer LIGO detectors continue to expand their horizons, but LIGO can ultimately only access the local gravitational neighborhood. To achieve a cosmological reach, complement traditional modes of observation, and gravitationally probe the Universe back to its infancy will require larger-scale “next-generation” interferometers. The planned Cosmic Explorer (CE) Observatory, ten times larger than LIGO, will maintain and advance US leadership in this revolutionary new field. However, constructing the 40-km ultrahigh-vacuum (UHV) laser beamtubes needed to realize CE represents a key technical challenge. This award will support the development and testing of scalable technology to implement high-performance, reliable, and economical vacuum beamtubes at the largest physical scale ever attempted, on a timescale compatible with CE construction and observations. By helping to enable CE, the Cosmic Explorer Beamtube Experiment (CEBEX) advances gravitational wave observational science, while projecting novel studies of ultrahigh vacuum environments for physical science research, manufacturing technology, and surface science into new realms. Under this award, the CEBEX team, based at LIGO Hanford Observatory, will design, construct, and test a 1.2m diameter by 120m long prototype UHV beamtube section as a technology pathfinder for the CE observatory. The scale of this activity requires the construction of a purpose-built lab structure on available land at the current LIGO site. Beamtube materials, construction methods, and industrial processes will be implemented and tested to confirm feasibility, scalability, and compliance with CE requirements. In the final year of the planned 4.25-year Award, the team will apply the results of this research to deliver to NSF an efficient conceptual reference design, parametric cost estimate, and schedule framework for CE beamtube construction. These will form key underpinnings of pending future CE design and construction initiatives. This award reflects NSF's statutory mission and has been deemed worthy of support through evaluation using the Foundation's intellectual merit and broader impacts review criteria.",17678372,2024,2028,NSF,United States,United States,Astronomical Sciences
Astrocent Plus -- Particle Astrophysics Science and Technology Centre,"The prime objective of the project is to uplift the existing Centre of Excellence AstroCeNT by transforming it into a fully independent, interdisciplinary, new legal entity: “Astrocent Plus — Particle Astrophysics Science and Technology Centre”. Astrocent Plus will engage in cutting-edge research and development in astroparticle physics and in related aspects of innovative technology, addressing global challenges, such as healthcare, climate change and sustainable sources of energy. As a fully autonomous entity with a modern professional management and administrative structure, it will be the first scientific institution in astroparticle physics supported by Teaming for Excellence and the first one in the field in Poland. Acting in close cooperation with world-leading consortium partners, Astrocent Plus will be embedded in a network of international collaborations involved in frontier research, probing the invisible Universe through neutrino, cosmic-ray, gravitational-wave and dark matter detection. AstroCeNT and the field have a proven record of medical and commercial applications and after the uplift will bring further high-impact benefits to society and economy. The buildup of internationally-rooted research capacity, gained through strategic partnerships, will position the Centre to achieve a significant, measurable, improvement in research and innovation culture and long-term financial sustainability, in part through commercialisation. The Centre will improve mobility and gender balance, train new cadres of highly-qualified researchers in science and hi-tech industry, promote innovation and cooperation between scientists and industry and help Poland and the EU attain a competitive position in the global value chains. With modern management practices, Astrocent Plus will become the main hub for the rapidly-developing field of particle astrophysics and a role model for Poland and the region for excellence in basic sciences and fruitful cooperation with industry.",16237369,2025,2030,European Commission,Poland; Italy; France; Canada; France; Germany,EU,Particle and High Energy Physics
Quantum Technologies for Axion Dark Matter Search,"The unresolved nature of the Dark Matter permeating our Universe is one of the most pressing questions of modern science. It is connected to our very understanding of reality at the most fundamental level. The axion DM paradigm has recently emerged as one of the most compelling hypothesis to solve this question: Dark Matter would be composed by very light and very feebly interacting axions. This
paradigm is strongly motivated by theory, and predicts a clear signal in terrestrial experiments called axion haloscopes.
Pioneering experiments have reached enough sensitivity to test some realistic axion models in limited mass ranges, so far without a positive signal. However, there is still a large viable axion parameter space to be explored. The methods used to date will be inefficient to perform such a challenging task. Here our DarkQuantum consortium proposes a new way of addressing this gap using quantum sensing
technologies and hybrid quantum systems.
Specifically, we will combine quantum technologies and well established particle physics environments at CERN or DESY devoted to the detection of axions in the galactic halo. Building quantum-enhanced setups in particle physics environments is extremely challenging and needs expertise from very different fields of physics. Our consortium brings together experts from quantum circuits, very-low temperature
cryogenics, quantum measurements and particle physics, to build two quantum-enhanced haloscopes with unprecedented sensitivity and mass scanning range. The novel sensing strategies of the DarkQuantum project could lead to the experimental detection of axions for the first time. Such a fundamental discovery in connection with the long-standing DM problem would lead to a breakthrough in Physics",14046028,2024,2030,ERC,Spain; Spain; Finland; Spain; Germany; Germany; France; Germany,EU,Nuclear and Plasma Physics; Particle and High Energy Physics; Quantum Physics
Cutting Edge Leap to Excellence in Space and Optics TEchnologies,"CELESTE represents a visionary initiative by the Instituto de Astrofísica de Canarias (IAC) for positioning the Canary Islands as a hub of excellence for pioneering research and technology development centered on two interlinked domains—Advanced Optical Systems and New Space. CELESTE will elevate IACTEC (the IAC’s division dedicated to industry collaboration) into a self-sustaining Center of Excellence (CoE). This will be achieved in close collaboration with world-leading institutions, the European Space Agency (ESA) and the Centre National de la Recherche Scientifique (CNRS), who will bring key knowhow in ground-breaking knowledge areas such as advanced astronomical instrument design, quantum communication technologies for secure space-to-Earth data transmission, and the development of ultra-high precision optical elements for astronomical observations. Also, strategic managerial knowhow.

A key driver of CELESTE is the Smart Specialization Strategy for the Canary Islands (2021-2027), which strongly supports the international leadership in Astrophysics and Space Sciences. A recent study by the region revealed the positive impact of the astrophysical activity to the Canary Islands' GDP, and for every million euros spent in the sector 45 jobs are generated. To scale this, CELESTE will allow to fully exploit ongoing investments that are already programmed for the next years.

CELESTE project will focus on creating the core structure for the long-term autonomy of IACTEC as self-sustained CoE (securing stable agreements with international partners and ensuring financial stability), foster productive training and exchange programs to attract and consolidate talent, setting up and operating a new battery of high-tech laboratories, and build a robust ecosystem of stakeholders.",12989887,2025,2030,European Commission,Spain; France; France,EU,"Atomic, Molecular and Optical Physics"
Relicts of Ancient Cellular Biochemistry in High-CO2 Subsurface Ecosystems,"The biological conversion of inorganic to organic carbon, autotrophic CO2 fixation, is arguably the most important biosynthetic process on Earth. Having been established early in the Archean Eon, a period characterized by an atmosphere rich in CO2, this metabolism helped spark and fuel the evolution of early microbial life. Mounting evidence suggests that exceedingly high levels of CO2 select for energetically efficient CO2 fixation pathways, immensely affecting carbon cycling. We hypothesize that CO2-rich subsurface ecosystems still harbor microbes that prefer or even require extremely high CO2 concentrations; we refer to these microbes as carbodioxyphiles. Accordingly, elevated CO2 levels would impact the thermodynamics of the microbial central carbon metabolism, enhancing autotrophy and hindering remineralization of organic matter by heterotrophs. To this end, we will study microbial life in CO2-rich subsurface environments and elucidate ancient metabolic pathways rendered obsolete by the CO2 levels of most modern environments. Each of the research team’s members has contributed to prior breakthroughs in novel autotrophic pathways, environmental genomics, metabolomics, and/or the biogeochemistry of deep subsurface environments. Establishing optimal synergy in this wealth of expertise and experience, we will describe novel modes of microbial carbon fixation in CO2-rich settings and elucidate the importance of carbodioxyphily for microbial evolution. Archean Park will provide a unique window through which to study a new mode of cellular biochemistry, the relicts of primordial carbon fixation, and Earth’s earliest carbon cycle. We will comprehensively characterize the metabolic mechanisms exploited by microbes to achieve evolutionary dominion in these relict environments. Our findings will stimulate biotechnological and geotechnical innovations ranging from enhanced autotrophic biomass production to improved carbon sequestration and storage.",12460648,2024,2030,ERC,Germany; Germany; Germany; Germany,EU,Biological Sciences; Biomedical and Clinical Sciences; Medical Biochemistry and Metabolomics; Earth Sciences; Astronomical Sciences
European Photonic Quantum Computer,"Photonics is one of the first platforms explored for quantum computing (QC), bringing the advantage of low decoherence and natural connectivity for distributed and blind QC. Recent years have witnessed a step-change in the scale, complexity, and scope of QC with photons which recently led to 3 out of the 4 demonstrations of quantum advantage from Canadian and Chinese groups. These impressive achievements were obtained with squeezed light in bulky apparatus that are not fit for scalability. Europe shows strong leadership in development of integrated optical QC platforms, with breakthroughs in the development of high transmission dense photonic chips, record efficiency detectors and deterministic single photon sources. Photonic QC also benefits from a clear roadmap toward fault tolerant architectures proposed by leading EU quantum algorithm teams. EPIQUE gathers world leaders in photonics QC with expertise in both technology and algorithms from academia and SMEs who work together to deliver the technological breakthroughs required to push the platform toward general purpose QC. This will be achieved via new nanofabrication that combines novel switching with mature silicon compatible circuitry, via optimising both single photon sources and detectors, via new interfacing possibilities in silicon nitride and direct write modular chips, via fast low loss switching in lithium niobate, and via quantum architectures that leverage all of these advances. EPIQUE will develop three QC prototypes that will demonstrate essential building blocks of generating and fusing quantum states to entangle >10 qubits, and critical measurement and feedforward capabilities required to scale the platform to >1000 qubits. At the end of this project, we will have proven a route to general purpose quantum computing that will strengthen private investment in EU based optical QC companies.",11193760,2024,2026,European Commission,Italy; Poland; Austria; France; Belgium; Italy; Denmark; Germany; Netherlands; Italy; Czechia; Denmark; France; France; Portugal; Ireland; Germany,EU,"Engineering; Electronics, Sensors and Digital Hardware; Atomic, Molecular and Optical Physics; Quantum Physics"
